Channel_Name,Subscribers_Count,Videos_count,Views_Count
edureka!,2640000,"4,253 ",215934700
Simplilearn,1060000,"2,688 ",73779851
Joma Tech,1030000,86 ,66827579
Intellipaat,969000,"2,059 ",47898953
Siraj Raval,712000,429 ,43287178
StatQuest with Josh Starmer,490000,199 ,23873798
Krish Naik,365000,"1,029 ",25579703
codebasics,309000,394 ,18546773
365 Data Science,179000,190 ,6774429
Data School,173000,100 ,8493662
DataCamp,114000,"1,203 ",15431915
Data Professor,67800,201 ,1411233
Tina Huang,61900,99 ,1996874
Art of Visualization,58000,253 ,3687810
Jeremy Howard,53600,106 ,5683371
